Kode,Nama Emiten,Tanggal IPO,Tahun,Kode_YFinance
AVIA,PT Avia Avian Tbk,2021-12-08,2021,AVIA.JK
OBMD,PT OBM Drilchem Tbk,2021-12-08,2021,OBMD.JK
IPPE,PT Indo Pureco Pratama Tbk,2021-12-09,2021,IPPE.JK
NASI,PT Wahana Inti Makmur Tbk,2021-12-13,2021,NASI.JK
BSML,PT Bintang Samudera Mandiri Lines Tbk,2021-12-16,2021,BSML.JK
DRMA,PT Dharma Polimetal Tbk,2021-12-20,2021,DRMA.JK
ADMR,PT Adaro Minerals Indonesia Tbk,2022-01-03,2022,ADMR.JK
SEMA,PT Semacom Integrated Tbk,2022-01-10,2022,SEMA.JK
ASLC,PT Autopedia Sukses Lestari Tbk,2022-01-25,2022,ASLC.JK
NETV,PT Net Visi Media Tbk,2022-01-26,2022,NETV.JK
BAUT,PT Mitra Angkasa Sejahtera Tbk,2022-01-28,2022,BAUT.JK
ENAK,PT Champ Resto Indonesia Tbk,2022-02-08,2022,ENAK.JK
NTBK,PT Nusatama Berkah Tbk,2022-02-09,2022,NTBK.JK
SMKM,PT Sumber Mas Konstruksi Tbk,2022-03-09,2022,SMKM.JK
NANO,PT Nanotech Indonesia Global Tbk,2022-03-10,2022,NANO.JK
STAA,PT Sumber Tani Agung Resources Tbk,2022-03-10,2022,STAA.JK
BIKE,PT Sepeda Bersama Indonesia Tbk,2022-03-21,2022,BIKE.JK
WIRG,PT WIR ASIA Tbk,2022-04-04,2022,WIRG.JK
SICO,PT Sigma Energy Compressindo Tbk,2022-04-08,2022,SICO.JK
GOTO,PT GoTo Gojek Tokopedia Tbk,2022-04-11,2022,GOTO.JK
TLDN,PT Teladan Prima Agro Tbk,2022-04-12,2022,TLDN.JK
MTMH,PT Murni Sadar Tbk,2022-04-20,2022,MTMH.JK
IBOS,PT Indo Boga Sukses Tbk,2022-04-25,2022,IBOS.JK
WINR,PT Winner Nusantara Jaya Tbk,2022-04-25,2022,WINR.JK
OLIV,PT Oscar Mitra Sukses Sejahtera Tbk,2022-05-17,2022,OLIV.JK
ASHA,PT Cilacap Samudera Fishing Industry Tbk,2022-05-27,2022,ASHA.JK
SWID,PT Saraswanti Indoland Development Tbk,2022-07-07,2022,SWID.JK
CHEM,PT Chemstar Indonesia Tbk,2022-07-08,2022,CHEM.JK
TRGU,PT Cerestar Indonesia Tbk,2022-07-08,2022,TRGU.JK
DEWI,PT Dewi Shri Farmindo Tbk,2022-07-18,2022,DEWI.JK
AXIO,PT Tera Data Indonusa Tbk,2022-07-20,2022,AXIO.JK
KRYA,PT Bangun Karya Perkasa Jaya Tbk,2022-07-25,2022,KRYA.JK
HATM,PT Habco Trans Maritima Tbk,2022-07-26,2022,HATM.JK
RCCC,PT Utama Radar Cahaya Tbk,2022-08-02,2022,RCCC.JK
GULA,PT Aman Agrindo Tbk,2022-08-03,2022,GULA.JK
AMMS,PT Agung Menjangan Mas Tbk,2022-08-04,2022,AMMS.JK
JARR,PT Jhonlin Agro Raya Tbk,2022-08-04,2022,JARR.JK
RAFI,PT Sari Kreasi Boga Tbk,2022-08-05,2022,RAFI.JK
EURO,PT Estee Gold Feet Tbk,2022-08-08,2022,EURO.JK
ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk,2022-08-08,2022,ELPI.JK
KKES,PT Kusuma Kemindo Sentosa Tbk,2022-08-08,2022,KKES.JK
BUAH,PT Segar Kumala Indonesia Tbk,2022-08-09,2022,BUAH.JK
TOOL,PT Rohartindo Nusantara Luas Tbk,2022-08-09,2022,TOOL.JK
KLIN,PT Klinko Karya Imaji Tbk,2022-08-09,2022,KLIN.JK
MEDS,PT Hetzer Medical Indonesia Tbk,2022-08-10,2022,MEDS.JK
CRAB,PT Toba Surimi Industries Tbk,2022-08-10,2022,CRAB.JK
COAL,PT Black Diamond Resources Tbk,2022-09-07,2022,COAL.JK
BSBK,PT Wulandari Bangun Laksana Tbk,2022-11-08,2022,BSBK.JK
OMED,PT Jayamas Medica Industri Tbk,2022-11-08,2022,OMED.JK
MKTR,PT Menthobi Karyatama Raya Tbk,2022-11-08,2022,MKTR.JK
BELI,PT Global Digital Niaga Tbk,2022-11-08,2022,BELI.JK
CBUT,PT Citra Borneo Utama Tbk,2022-11-08,2022,CBUT.JK
PRAY,PT Famon Awal Bros Sedaya Tbk,2022-11-08,2022,PRAY.JK
