ticker,sector_name,subsector_name,industry_name,subindustry_name
ANJT,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,Perkebunan & Tanaman Pangan
ANTM,Barang Baku,Barang Baku,Logam & Mineral,Logam & Mineral Lainnya
APEX,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara",Jasa Pengeboran Minyak & Gas
APIC,Keuangan,Perusahaan Holding & Investasi,Perusahaan Holding & Investasi,Perusahaan Holding Keuangan
APII,Perindustrian,Barang Perindustrian,Mesin,Mesin & Komponen Perindustrian
APLI,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Khusus
APLN,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
ARCI,Barang Baku,Barang Baku,Logam & Mineral,Emas
AREA,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI
ARGO,Barang Konsumen Non-Primer,Pakaian & Barang Mewah,Pakaian & Barang Mewah,Tekstil
ARII,Energi,"Minyak, Gas & Batu Bara",Batu Bara,Produksi Batu Bara
ARKA,Perindustrian,Barang Perindustrian,Mesin,Mesin & Komponen Perindustrian
ARKO,Infrastruktur,Utilitas,Utilitas Listrik,Utilitas Listrik
ARMY,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
ARNA,Perindustrian,Barang Perindustrian,Produk & Perlengkapan Bangunan,Produk & Perlengkapan Bangunan
ARTA,Barang Konsumen Non-Primer,Jasa Konsumen,Pariwisata & Rekreasi,"Hotel, Resor & Kapal Pesiar"
ARTI,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
ARTO,Keuangan,Bank,Bank,Bank
ASBI,Keuangan,Asuransi,Asuransi,Asuransi Umum
ASDM,Keuangan,Asuransi,Asuransi,Asuransi Umum
ASGR,Perindustrian,Jasa Perindustrian,Jasa Komersial,Jasa Pendukung Bisnis
ASHA,Barang Konsumen Primer,Makanan & Minuman,Produk Makanan Pertanian,"Ikan, Daging & Produk Unggas"
ASII,Perindustrian,Perusahaan Holding Multi Sektor,Perusahaan Holding Multi-sektor,Perusahaan Holding Multi-sektor
ASJT,Keuangan,Asuransi,Asuransi,Asuransi Umum
ASLC,Barang Konsumen Non-Primer,Perdagangan Ritel,Ritel Khusus,Ritel Otomotif
ASLI,Infrastruktur,Konstruksi Bangunan,Konstruksi Bangunan,Konstruksi Bangunan
ASMI,Keuangan,Asuransi,Asuransi,Asuransi Umum
ASPI,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
ASPR,Barang Baku,Barang Baku,Wadah & Kemasan,Wadah & Kemasan
ASRI,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
ASRM,Keuangan,Asuransi,Asuransi,Asuransi Umum
ASSA,Transportasi & Logistik,Transportasi,Pengangkutan Darat Penumpang,Transportasi Jalanan
ATAP,Properti & Real Estat,Properti & Real Estat,Pengelola & Pengembang Real Estat,Pengembang & Operator Real Estat
ATIC,Teknologi,Perangkat Lunak & Jasa TI,Jasa & Konsultan TI,Jasa & Konsultan TI
ATLA,Energi,"Minyak, Gas & Batu Bara","Pendukung Minyak, Gas & Batu Bara","Jasa & Perlengkapan Minyak, Gas & Batu Bara"
AUTO,Barang Konsumen Non-Primer,Otomotif & Komponen Otomotif,Komponen Otomotif,Suku Cadang Otomotif
AVIA,Barang Baku,Barang Baku,Barang Kimia,Barang Kimia Khusus
