ticker,observed_date,period_end,per,pbv,roe,der,current_ratio,revenue_growth,source
"BMRI","2025-04-29","2025-03-31","34.94","1.81","5.19","8.57",,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo historical close 2025-04-29 (IDR); observed_date verified: Bank Mandiri official 1Q25 results presentation"
"BREN","2025-03-21","2024-12-31","398.48","94.14","23.62","5.91","1.85","0.32","Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-03-21 (IDR) + FX USDIDR=X@2025-03-21; observed_date verified: Barito Renewables official FY2024 release"
"BREN","2025-04-30","2025-03-31","1422.76","88.8","6.24","5.52","1.77",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-04-30 (IDR) + FX USDIDR=X@2025-04-30; observed_date verified: Barito Renewables official 3M2025 release"
"BREN","2025-07-31","2025-06-30","970.16","110.25","11.36","5.13","1.9",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-07-31 (IDR) + FX USDIDR=X@2025-07-31; observed_date verified: Barito Renewables official 6M2025 release"
"BRIS","2025-04-30","2025-03-31","69.97","2.8","4","7.54",,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo historical close 2025-04-30 (IDR); observed_date verified: BSI official Q1 2025 financial report"
"BRIS","2025-09-19","2025-06-30","32.18","2.52","7.82","7.38",,,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo historical close 2025-09-19 (IDR); observed_date verified: BSI official Q2 2025 financial report"
"BRMS","2025-03-25","2024-12-31","114.25","2.32","2.03","0.13","1.21","248.1","Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-03-25 (IDR) + FX USDIDR=X@2025-03-25; observed_date verified: BRMS official FY2024 financial results release"
"BRMS","2025-04-29","2025-03-31","232.21","2.76","1.19","0.12","1.25",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-04-29 (IDR) + FX USDIDR=X@2025-04-29; observed_date verified: BRMS official Q1 2025 financial results release"
"BRMS","2025-07-30","2025-06-30","170.56","3.2","1.88","0.15","1.28",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-07-30 (IDR) + FX USDIDR=X@2025-07-30; observed_date verified: BRMS official H1 2025 financial results release"
"BRPT","2025-03-17","2024-12-31","78.78","2.58","3.27","3.67","2.44","-13.53","Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-03-17 (IDR) + FX USDIDR=X@2025-03-17; observed_date verified: Barito Pacific official FY2024 release"
"BRPT","2025-04-30","2025-03-31","261.1","2.44","0.93","3.77","3.82",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-04-30 (IDR) + FX USDIDR=X@2025-04-30; observed_date verified: Barito Pacific official 3M2025 release"
"BRPT","2025-07-31","2025-06-30","27.7","6.69","24.16","4.02","2.94",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-07-31 (IDR) + FX USDIDR=X@2025-07-31; observed_date verified: Barito Pacific official 6M2025 release"
"BULL","2025-07-31","2025-06-30","14.23","0.7","4.91","0.96","0.72",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-07-31 (IDR) + FX USDIDR=X@2025-07-31; observed_date verified: BULL official Q2 2025 financial statement"
"CPIN","2025-04-30","2025-03-31","50.46","2.44","4.83","0.38","2.85",,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo historical close 2025-04-30 (IDR); observed_date verified: CPIN official Q1 2025 financial statements upload"
"DGWG","2025-04-08","2024-12-31","11.79","2.78","23.56","2.81","1.03","10.97","Yahoo fundamentalsTimeSeries (IDR) + Yahoo historical close 2025-04-08 (IDR); observed_date verified: DGWG official FY2024 audited results announcement"
"DGWG","2025-04-30","2025-03-31","114.74","3.04","2.65","2.02","1.14",,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo historical close 2025-04-30 (IDR); observed_date verified: DGWG official Q1 2025 financial statements"
"DGWG","2025-07-30","2025-06-30","47.82","2.63","5.5","2.3","1.1",,"Yahoo fundamentalsTimeSeries (IDR) + Yahoo historical close 2025-07-30 (IDR); observed_date verified: DGWG official H1 2025 financial statements"
"DSSA","2025-03-21","2024-12-31","51.68","9.93","19.22","1.09","2.33","-39.82","Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-03-21 (IDR) + FX USDIDR=X@2025-03-21; observed_date verified: DSSA official FY2024 financial results announcement"
"DSSA","2025-05-28","2025-03-31","254.92","12.27","4.81","1.07","2.37",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-05-28 (IDR) + FX USDIDR=X@2025-05-28; observed_date verified: DSSA official Q1 2025 release"
"DSSA","2025-09-10","2025-06-30","399.43","22.57","5.65","1.08","1.82",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-09-10 (IDR) + FX USDIDR=X@2025-09-10; observed_date verified: DSSA official H1 2025 announcement"
"ESSA","2025-02-21","2024-12-31","18.31","1.99","10.85","0.34","2.36","-12.63","Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-02-21 (IDR) + FX USDIDR=X@2025-02-21; observed_date verified: ESSA official FY2024 financial report release"
"ESSA","2025-04-29","2025-03-31","78.63","1.51","1.91","0.24","3.2",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-04-29 (IDR) + FX USDIDR=X@2025-04-29; observed_date verified: ESSA official Q1 2025 financial report release"
"ESSA","2025-07-25","2025-06-30","45.19","1.59","3.53","0.22","3.08",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-07-25 (IDR) + FX USDIDR=X@2025-07-24; observed_date verified: ESSA official H1 2025 financial report release"
"INCO","2025-02-19","2024-12-31","32.32","0.68","2.11","0.16","3.81","-22.87","Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-02-19 (IDR) + FX USDIDR=X@2025-02-19; observed_date verified: PT Vale official 4Q24 financial results"
"INCO","2025-04-24","2025-03-31","70.33","0.56","0.79","0.15","3.8",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-04-24 (IDR) + FX USDIDR=X@2025-04-24; observed_date verified: PT Vale official 1Q25 financial results"
"INCO","2025-07-30","2025-06-30","83.94","0.86","1.03","0.16","3.4",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-07-30 (IDR) + FX USDIDR=X@2025-07-30; observed_date verified: PT Vale official 2Q25 results release"
"INDY","2025-04-30","2025-03-31","156.72","0.38","0.24","1.29","2.03",,"Yahoo fundamentalsTimeSeries (USD) + Yahoo historical close 2025-04-30 (IDR) + FX USDIDR=X@2025-04-30; observed_date verified: Indika Energy official 3M25 results presentation"
